year,tpl,date_tpl,gdd_0,GDD,date_harv,doy_harv,eu,transplant,sex,crop,rep,height_cm,weight_g,weight_0,red_all,test_0,red_p_tpl
2020,40,201,,636,1-Sep,245,598,5,m,fallow,4,135,105.5,77.56607906,77.56607906,77.56607906,
2020,40,201,,636,1-Sep,245,595,5,m,fallow,3,102,105.2,77.6298722,77.6298722,77.6298722,
2019,40,205,,632,29-Aug,241,309,5,m,fallow,4,51,29.87,78.34722726,78.34722726,78.34722726,
2019,40,205,,632,4-Sep,247,279,5,na,fallow,2,51,29.65,78.50670533,78.50670533,78.50670533,
2020,30,191,,517,19-Aug,232,535,4,m,fallow,3,99,100.42,78.64630957,78.64630957,78.64630957,
2019,40,205,,632,29-Aug,241,312,5,na,fallow,4,52,28.29,79.49256977,79.49256977,79.49256977,
2020,10,171,,269,14-Aug,227,406,2,f,wide,1,138,12.44,97.35471112,79.59986881,79.59986881,
2019,40,205,,632,29-Aug,241,311,5,na,fallow,4,50,27.64,79.96375498,79.96375498,79.96375498,
2020,10,171,,269,19-Aug,232,402,2,f,corn,4,59,2.88,99.38758585,80.19257221,80.19257221,
2020,20,181,,373,1-Sep,245,493,3,m,corn,2,70,2.88,99.38758585,80.19257221,80.19257221,
2020,20,181,,373,1-Sep,245,462,3,f,corn,1,69,2.85,99.39396517,80.39889959,80.39889959,
2020,40,201,,636,1-Sep,245,599,5,m,fallow,4,119,90.93,80.66429923,80.66429923,80.66429923,
2020,10,171,,269,1-Sep,245,396,2,f,corn,1,94,2.81,99.40247092,80.67400275,80.67400275,
2019,10,175,,247,29-Jul,210,125,2,f,wide,4,35,3.9,97.17288873,80.85419735,80.85419735,
2019,40,205,,632,29-Aug,241,294,5,na,fallow,3,49,26.28,80.94961943,80.94961943,80.94961943,
2020,40,201,,636,1-Sep,245,583,5,f,fallow,3,97,88.39,81.20441449,81.20441449,81.20441449,
2019,40,205,,632,29-Aug,241,295,5,na,fallow,3,52,25.87,81.24682856,81.24682856,81.24682856,
2019,40,205,,632,4-Sep,247,263,5,na,fallow,1,55,25.56,81.47154766,81.47154766,81.47154766,
2019,40,205,,632,29-Aug,241,296,5,na,fallow,3,41,25.05,81.84124683,81.84124683,81.84124683,
2020,10,171,,269,27-Jul,209,385,2,f,fallow,1,109,83.3,82.28677143,82.28677143,82.28677143,
2020,10,171,,269,27-Jul,209,419,2,m,fallow,1,104,83.06,82.33780594,82.33780594,82.33780594,
2019,20,185,,379,20-Aug,232,180,3,m,corn,4,60,2.5,98.18774918,82.6026444,82.6026444,
2020,40,201,,636,1-Sep,245,593,5,m,fallow,2,97,81.67,82.63338082,82.63338082,82.63338082,
2019,0,165,0,168,20-Aug,232,63,1,m,wide,4,135,3.52,97.44835085,82.71968581,82.71968581,
2020,20,181,,373,30-Jul,212,484,3,m,fallow,3,100,80.8,82.81838093,82.81838093,82.81838093,
2020,10,171,,269,7-Aug,220,423,2,m,fallow,4,135,78.94,83.2138984,83.2138984,83.2138984,
2020,10,171,,269,30-Jul,212,416,2,f,wide,3,101,9.9,97.89482638,83.76516891,83.76516891,
2019,0,165,0,168,29-Jul,210,53,1,m,fallow,4,65,22.2,83.90721276,83.90721276,83.90721276,
2020,10,171,,269,27-Jul,209,418,2,m,fallow,1,99,74.65,84.1261403,84.1261403,84.1261403,
2020,30,191,,517,19-Aug,232,536,4,m,fallow,3,95,74.63,84.13039318,84.13039318,84.13039318,
2020,10,171,,269,30-Jul,212,420,2,m,fallow,3,81,71.41,84.81510622,84.81510622,84.81510622,
2020,30,191,,517,14-Aug,227,537,4,m,fallow,2,84,70.66,84.97458907,84.97458907,84.97458907,
2020,10,171,,269,27-Jul,209,421,2,m,fallow,3,102,70.07,85.10004891,85.10004891,85.10004891,
2020,10,171,,269,30-Jul,212,390,2,f,fallow,4,76,68.68,85.39562379,85.39562379,85.39562379,
2020,10,171,,269,30-Jul,212,441,2,m,narrow,3,91,3.84,99.18344781,85.40478905,85.40478905,
2020,10,171,,269,19-Aug,232,415,2,f,wide,3,127,8.87,98.11384949,85.45424729,85.45424729,
2020,50,211,,748,1-Sep,245,660,6,m,fallow,4,97,67.62,85.62102622,85.62102622,85.62102622,
2020,10,171,,269,19-Aug,232,426,2,m,corn,3,43,2.06,99.56195377,85.83218707,85.83218707,
2020,10,171,,269,30-Jul,212,391,2,f,fallow,4,94,66.1,85.9442448,85.9442448,85.9442448,
2020,10,171,,269,30-Jul,212,443,2,f,narrow,4,91,3.52,99.25149382,86.62105663,86.62105663,
2020,40,201,,636,1-Sep,245,581,5,f,fallow,2,112,61.07,87.01384311,87.01384311,87.01384311,
2020,20,181,,373,19-Aug,232,487,3,m,corn,3,68,1.88,99.60022966,87.07015131,87.07015131,
2020,20,181,,373,19-Aug,232,494,3,m,wide,4,118,7.88,98.32436685,87.0777304,87.0777304,
2020,10,171,,269,30-Jul,212,440,2,m,narrow,3,85,3.31,99.29614902,87.41923223,87.41923223,
2019,0,165,0,168,15-Aug,227,38,1,m,fallow,3,104,16.72,87.87966655,87.87966655,87.87966655,
2020,40,201,,636,27-Aug,240,579,5,f,fallow,1,79,56.17,88.05579773,88.05579773,88.05579773,
2020,10,171,,269,30-Jul,212,446,2,m,narrow,2,98,3.13,99.3344249,88.10338274,88.10338274,
2020,20,181,,373,14-Aug,227,453,3,f,fallow,1,84,54.08,88.50022328,88.50022328,88.50022328,
2020,30,191,,517,14-Aug,227,538,4,m,fallow,2,89,52.81,88.7702809,88.7702809,88.7702809,
2020,20,181,,373,27-Aug,240,454,3,f,fallow,1,84,51.25,89.10200523,89.10200523,89.10200523,
2020,10,171,,269,30-Jul,212,442,2,f,narrow,4,88,2.86,99.39183873,89.12960851,89.12960851,
2020,20,181,,373,27-Jul,209,455,3,f,fallow,1,86,49.92,89.38482149,89.38482149,89.38482149,
2019,10,175,,247,4-Sep,247,66,2,f,corn,1,42,1.5,98.91264951,89.56158664,89.56158664,
2020,10,171,,269,30-Jul,212,445,2,f,narrow,1,83,2.72,99.42160886,89.66172558,89.66172558,
2020,20,181,,373,30-Jul,212,485,3,m,fallow,1,86,48.38,89.71229294,89.71229294,89.71229294,
2019,10,175,,247,20-Aug,232,68,2,m,corn,1,36,1.47,98.93439652,89.77035491,89.77035491,
2020,10,171,,269,30-Jul,212,438,2,m,narrow,4,84,2.67,99.43224105,89.85176739,89.85176739,
2020,40,201,,636,19-Aug,232,600,5,m,fallow,4,76,47.02,90.00148851,90.00148851,90.00148851,
2020,40,201,,636,1-Sep,245,592,5,m,fallow,2,97,46.17,90.18223574,90.18223574,90.18223574,
2020,30,191,,517,14-Aug,227,539,4,m,fallow,2,84,45.81,90.25878751,90.25878751,90.25878751,
2020,20,181,,373,27-Jul,209,486,3,m,fallow,2,89,45.35,90.35660365,90.35660365,90.35660365,
2020,50,211,,748,1-Sep,245,658,6,m,fallow,4,85,45.27,90.37361516,90.37361516,90.37361516,
2020,20,181,,373,14-Aug,227,461,3,f,corn,1,61,1.39,99.70442512,90.44016506,90.44016506,
2019,10,175,,247,22-Aug,234,83,2,m,corn,2,73,1.37,99.00688655,90.46624913,90.46624913,
2020,40,201,,636,1-Sep,245,596,5,m,fallow,3,69,44.46,90.54585664,90.54585664,90.54585664,
2020,10,171,,269,19-Aug,232,424,2,m,corn,3,41,1.33,99.71718375,90.85281981,90.85281981,
2020,10,171,,269,1-Sep,245,400,2,f,corn,2,56,1.28,99.72781594,91.19669876,91.19669876,
2019,10,175,,247,20-Aug,232,113,2,m,corn,4,40,1.21,99.12287061,91.57967989,91.57967989,
2020,20,181,,373,19-Aug,232,468,3,f,wide,4,112,4.96,98.94528675,91.86618563,91.86618563,
2020,20,181,,373,14-Aug,227,469,3,f,wide,1,84,4.87,98.96442469,92.01377501,92.01377501,
2020,20,181,,373,1-Sep,245,463,3,f,corn,1,51,1.12,99.76183894,92.29711142,92.29711142,
2020,20,181,,373,30-Jul,212,456,3,f,fallow,2,79,35.39,92.4745359,92.4745359,92.4745359,
2019,10,175,,247,20-Aug,232,116,2,m,corn,4,42,1.06,99.23160565,92.62352122,92.62352122,
2019,20,185,,379,20-Aug,232,177,3,m,corn,4,54,1.06,99.23160565,92.62352122,92.62352122,
2020,50,211,,748,1-Sep,245,646,6,f,fallow,2,74,34.15,92.73821422,92.73821422,92.73821422,
2020,40,201,,636,27-Aug,240,577,5,f,fallow,1,84,33.61,92.85304187,92.85304187,92.85304187,
2020,50,211,,748,1-Sep,245,656,6,m,fallow,3,74,33.44,92.88919132,92.88919132,92.88919132,
2020,20,181,,373,19-Aug,232,457,3,f,corn,3,56,1,99.7873562,93.12242091,93.12242091,
2020,30,191,,517,14-Aug,227,520,4,f,fallow,2,65,32.33,93.12522593,93.12522593,93.12522593,
2020,20,181,,373,14-Aug,227,470,3,f,wide,1,81,4.18,99.11114891,93.14529354,93.14529354,
2019,20,185,,379,20-Aug,232,179,3,m,corn,4,64,0.97,99.29684668,93.24982603,93.24982603,
2020,40,201,,636,1-Sep,245,578,5,f,fallow,1,79,31.36,93.33149042,93.33149042,93.33149042,
2020,20,181,,373,14-Aug,227,460,3,f,corn,1,79,0.95,99.79798839,93.46629986,93.46629986,
2019,10,175,,247,22-Aug,234,84,2,m,corn,2,58,0.93,99.3258427,93.52818372,93.52818372,
2019,10,175,,247,20-Aug,232,80,2,m,wide,1,63,1.29,99.06487858,93.66715758,93.66715758,
2019,10,175,,247,20-Aug,232,115,2,m,corn,4,46,0.91,99.3403407,93.66736256,93.66736256,
2020,50,211,,748,1-Sep,245,645,6,f,fallow,2,76,29.38,93.75252515,93.75252515,93.75252515,
2019,10,175,,247,20-Aug,232,114,2,m,corn,4,41,0.88,99.36208771,93.87613083,93.87613083,
2020,20,181,,373,1-Sep,245,467,3,f,wide,2,76,3.64,99.22597657,94.03082978,94.03082978,
2020,50,211,,748,1-Sep,245,654,6,m,fallow,2,76,27.94,94.05873222,94.05873222,94.05873222,
2020,20,181,,373,1-Sep,245,471,3,f,wide,2,94,3.58,99.23873519,94.1292227,94.1292227,
2020,50,211,,748,1-Sep,245,661,6,m,fallow,4,89,27.41,94.17143343,94.17143343,94.17143343,
2019,10,175,,247,20-Aug,232,81,2,m,corn,2,47,0.83,99.39833273,94.22407794,94.22407794,
2020,30,191,,517,1-Sep,245,522,4,f,corn,3,41,0.81,99.82775852,94.42916094,94.42916094,
2020,20,181,,373,1-Sep,245,472,3,f,wide,2,99,3.38,99.28126395,94.45719908,94.45719908,
2020,20,181,,373,30-Jul,212,500,3,m,wide,3,71,3.35,99.28764327,94.50639554,94.50639554,
2019,10,175,,247,20-Aug,232,105,2,m,narrow,3,63,0.49,99.64479884,94.64480874,94.64480874,
2020,50,211,,748,1-Sep,245,672,6,m,fallow,3,66,25.18,94.64562911,94.64562911,94.64562911,
2020,50,211,,748,1-Sep,245,659,6,m,fallow,4,89,24.32,94.82850278,94.82850278,94.82850278,
2020,10,171,,269,30-Jul,212,439,2,m,narrow,3,78,1.35,99.71293087,94.86887115,94.86887115,
2020,50,211,,748,1-Sep,245,671,6,m,fallow,3,64,23.99,94.89867523,94.89867523,94.89867523,
2020,20,181,,373,14-Aug,227,466,3,f,wide,1,102,3.01,99.35994216,95.0639554,95.0639554,
2020,20,181,,373,30-Jul,212,499,3,m,wide,3,61,3.01,99.35994216,95.0639554,95.0639554,
2020,20,181,,373,19-Aug,232,489,3,m,corn,3,51,0.71,99.8490229,95.11691884,95.11691884,
2020,30,191,,517,1-Sep,245,529,4,f,corn,4,30,0.71,99.8490229,95.11691884,95.11691884,
2020,50,211,,748,1-Sep,245,655,6,m,fallow,2,74,22.5,95.21551449,95.21551449,95.21551449,
2020,20,181,,373,30-Jul,212,501,3,m,wide,4,80,2.89,99.38545942,95.26074123,95.26074123,
2020,30,191,,517,1-Sep,245,540,4,m,corn,3,46,0.68,99.85540222,95.32324622,95.32324622,
2020,20,181,,373,30-Jul,212,497,3,m,wide,3,66,2.81,99.40247092,95.39193178,95.39193178,
2020,30,191,,517,1-Sep,245,545,4,m,corn,3,38,0.66,99.85965509,95.4607978,95.4607978,
2020,30,191,,517,1-Sep,245,528,4,f,corn,4,31,0.66,99.85965509,95.4607978,95.4607978,
2020,10,171,,269,30-Jul,212,410,2,f,narrow,3,71,1.18,99.74908032,95.5150133,95.5150133,
2019,10,175,,247,20-Aug,232,75,2,m,narrow,1,51,0.41,99.70279087,95.51912568,95.51912568,
2019,10,175,,247,20-Aug,232,67,2,m,corn,1,44,0.64,99.53606379,95.54627697,95.54627697,
2020,30,191,,517,1-Sep,245,525,4,f,corn,2,30,0.63,99.86603441,95.66712517,95.66712517,
2019,10,175,,247,20-Aug,232,94,2,m,wide,2,64,0.87,99.36933672,95.72901325,95.72901325,
2019,10,175,,247,2-Aug,214,121,2,m,narrow,4,35,0.39,99.71728887,95.73770492,95.73770492,
2020,30,191,,517,1-Sep,245,526,4,f,corn,2,31,0.61,99.87028728,95.80467675,95.80467675,
2019,10,175,,247,20-Aug,232,124,2,f,narrow,4,42,0.38,99.72453788,95.84699454,95.84699454,
2020,20,181,,373,19-Aug,232,488,3,m,corn,2,56,0.6,99.87241372,95.87345254,95.87345254,
2020,30,191,,517,1-Sep,245,527,4,f,corn,2,33,0.58,99.8766666,96.01100413,96.01100413,
2020,20,181,,373,19-Aug,232,458,3,f,corn,4,45,0.56,99.88091947,96.14855571,96.14855571,
2019,10,175,,247,20-Aug,232,108,2,m,narrow,3,38,0.35,99.74628489,96.17486339,96.17486339,
2020,20,181,,373,30-Jul,212,496,3,m,wide,2,59,2.31,99.50879282,96.21187275,96.21187275,
2019,10,175,,247,20-Aug,232,128,2,m,wide,4,53,0.77,99.44182675,96.21993127,96.21993127,
2019,10,175,,247,20-Aug,232,112,2,m,wide,3,81,0.69,99.49981877,96.61266568,96.61266568,
2019,10,175,,247,20-Aug,232,127,2,m,wide,4,58,0.68,99.50706778,96.66175749,96.66175749,
2020,20,181,,373,30-Jul,212,502,3,m,wide,4,69,2.03,99.56833309,96.67103969,96.67103969,
2020,20,181,,373,30-Jul,212,498,3,m,wide,3,68,2.01,99.57258596,96.70383732,96.70383732,
2019,10,175,,247,4-Sep,247,122,2,f,narrow,4,46,0.3,99.7825299,96.72131148,96.72131148,
2019,20,185,,379,20-Aug,232,178,3,m,corn,4,30,0.45,99.67379485,96.86847599,96.86847599,
2020,10,171,,269,30-Jul,212,444,2,f,narrow,1,75,0.82,99.82563208,96.88331433,96.88331433,
2019,10,175,,247,20-Aug,232,96,2,m,wide,2,45,0.63,99.54331279,96.90721649,96.90721649,
2019,10,175,,247,20-Aug,232,76,2,m,narrow,1,40,0.28,99.79702791,96.93989071,96.93989071,
2019,10,175,,247,27-Aug,239,100,2,f,corn,3,51,0.42,99.69554186,97.07724426,97.07724426,
2019,10,175,,247,20-Aug,232,92,2,m,wide,2,55,0.59,99.57230881,97.1035837,97.1035837,
2020,20,181,,373,19-Aug,232,490,3,m,corn,4,31,0.41,99.91281604,97.18019257,97.18019257,
2019,10,175,,247,20-Aug,232,93,2,m,wide,2,52,0.56,99.59405582,97.25085911,97.25085911,
2020,50,211,,748,1-Sep,245,642,6,f,fallow,1,48,12.57,97.32706743,97.32706743,97.32706743,
2020,30,191,,517,1-Sep,245,544,4,m,corn,1,39,0.38,99.91919536,97.38651994,97.38651994,
2020,50,211,,748,1-Sep,245,657,6,m,fallow,3,36,11.97,97.45465371,97.45465371,97.45465371,
2020,30,191,,517,1-Sep,245,543,4,m,corn,4,36,0.36,99.92344823,97.52407153,97.52407153,
2019,10,175,,247,27-Aug,239,99,2,m,corn,3,46,0.34,99.75353389,97.63395964,97.63395964,
2019,10,175,,247,20-Aug,232,123,2,m,narrow,4,45,0.21,99.84777093,97.70491803,97.70491803,
2019,10,175,,247,22-Aug,234,82,2,m,corn,2,46,0.32,99.7680319,97.77313848,97.77313848,
2020,50,211,,748,1-Sep,245,641,6,f,fallow,1,51,10.35,97.79913667,97.79913667,97.79913667,
2019,10,175,,247,20-Aug,232,95,2,m,wide,2,51,0.44,99.68104386,97.83996073,97.83996073,
2019,10,175,,247,27-Aug,239,97,2,f,corn,3,39,0.31,99.7752809,97.84272791,97.84272791,
2020,20,181,,373,19-Aug,232,459,3,f,corn,4,39,0.31,99.93408042,97.86795048,97.86795048,
2020,20,181,,373,30-Jul,212,495,3,m,wide,1,59,1.29,99.7256895,97.88455231,97.88455231,
2019,10,175,,247,27-Aug,239,89,2,m,narrow,2,33,0.18,99.86951794,98.03278689,98.03278689,
2019,20,185,,379,4-Sep,247,146,3,m,corn,2,25,0.28,99.79702791,98.05149617,98.05149617,
2020,30,191,,517,1-Sep,245,546,4,m,corn,2,38,0.28,99.94045974,98.07427785,98.07427785,
2020,40,201,,636,14-Aug,227,580,5,f,fallow,1,36,7.96,98.30735535,98.30735535,98.30735535,
2020,20,181,,373,19-Aug,232,491,3,m,corn,4,23,0.23,99.95109193,98.41815681,98.41815681,
2019,10,175,,247,27-Aug,239,110,2,m,wide,3,47,0.31,99.7752809,98.47815415,98.47815415,
2020,30,191,,517,1-Sep,245,521,4,f,corn,1,25,0.22,99.95321836,98.4869326,98.4869326,
2019,10,175,,247,20-Aug,232,74,2,m,narrow,1,24,0.12,99.91301196,98.68852459,98.68852459,
2020,30,191,,517,1-Sep,245,542,4,m,corn,4,34,0.19,99.95959768,98.69325997,98.69325997,
2020,50,211,,748,1-Sep,245,643,6,f,fallow,1,36,5.94,98.73689583,98.73689583,98.73689583,
2019,10,175,,247,29-Aug,241,65,2,f,corn,1,37,0.18,99.86951794,98.7473904,98.7473904,
2019,10,175,,247,20-Aug,232,106,2,m,narrow,3,27,0.1,99.92750997,98.90710383,98.90710383,
2019,10,175,,247,27-Aug,239,98,2,m,corn,3,22,0.15,99.89126495,98.95615866,98.95615866,
2020,40,201,,636,1-Sep,245,586,5,f,corn,4,18,0.15,99.96810343,98.96836314,98.96836314,
2020,50,211,,748,1-Sep,245,644,6,f,fallow,1,58,4.81,98.97718332,98.97718332,98.97718332,
2019,20,185,,379,4-Sep,247,142,3,m,wide,1,14,0.2,99.85501993,99.01816397,99.01816397,
2019,20,185,,379,4-Sep,247,145,3,m,corn,2,13,0.13,99.90576296,99.09533751,99.09533751,
2020,30,191,,517,1-Sep,245,523,4,f,corn,1,20,0.13,99.97235631,99.10591472,99.10591472,
2020,40,201,,636,1-Sep,245,608,5,m,corn,4,30,0.13,99.97235631,99.10591472,99.10591472,
2019,20,185,,379,20-Aug,232,163,3,m,corn,3,35,0.12,99.91301196,99.16492693,99.16492693,
2020,30,191,,517,1-Sep,245,524,4,f,corn,1,30,0.12,99.97448274,99.17469051,99.17469051,
2019,20,185,,379,4-Sep,247,147,3,f,corn,2,21,0.11,99.92026096,99.23451635,99.23451635,
2020,40,201,,636,1-Sep,245,589,5,f,corn,2,18,0.11,99.97660918,99.2434663,99.2434663,
2020,40,201,,636,1-Sep,245,591,5,f,corn,4,15,0.09,99.98086206,99.38101788,99.38101788,
2020,50,211,,748,1-Sep,245,649,6,f,corn,1,10,0.09,99.98086206,99.38101788,99.38101788,
2020,50,211,,748,1-Sep,245,663,6,m,corn,2,14,0.09,99.98086206,99.38101788,99.38101788,
2020,50,211,,748,1-Sep,245,669,6,m,corn,4,14,0.09,99.98086206,99.38101788,99.38101788,
2019,20,185,,379,4-Sep,247,148,3,f,corn,2,22,0.08,99.94200797,99.44328462,99.44328462,
2020,40,201,,636,1-Sep,245,604,5,m,corn,3,15,0.08,99.9829885,99.44979367,99.44979367,
2020,50,211,,748,1-Sep,245,650,6,f,corn,2,8,0.08,99.9829885,99.44979367,99.44979367,
2020,20,181,,373,1-Sep,245,506,3,f,narrow,3,17,0.14,99.97022987,99.46788293,99.46788293,
2020,20,181,,373,1-Sep,245,508,3,m,narrow,3,11,0.14,99.97022987,99.46788293,99.46788293,
2020,20,181,,373,1-Sep,245,477,3,f,narrow,2,17,0.13,99.97235631,99.5058913,99.5058913,
2020,20,181,,373,1-Sep,245,512,3,m,narrow,4,17,0.13,99.97235631,99.5058913,99.5058913,
2019,20,185,,379,20-Aug,232,129,3,m,corn,1,17,0.07,99.94925698,99.51287404,99.51287404,
2020,50,211,,748,1-Sep,245,648,6,f,corn,1,11,0.07,99.98511493,99.51856946,99.51856946,
2020,50,211,,748,1-Sep,245,652,6,f,corn,3,10,0.07,99.98511493,99.51856946,99.51856946,
2020,50,211,,748,1-Sep,245,653,6,f,corn,4,11,0.07,99.98511493,99.51856946,99.51856946,
2020,20,181,,373,1-Sep,245,505,3,m,narrow,3,16,0.11,99.97660918,99.58190802,99.58190802,
2020,20,181,,373,1-Sep,245,509,3,m,narrow,4,15,0.11,99.97660918,99.58190802,99.58190802,
2020,30,191,,517,1-Sep,245,541,4,m,corn,3,23,0.06,99.98724137,99.58734525,99.58734525,
2020,40,201,,636,1-Sep,245,585,5,f,corn,1,13,0.06,99.98724137,99.58734525,99.58734525,
2020,40,201,,636,1-Sep,245,606,5,m,corn,3,13,0.06,99.98724137,99.58734525,99.58734525,
2020,50,211,,748,1-Sep,245,665,6,m,corn,2,6,0.06,99.98724137,99.58734525,99.58734525,
2020,50,211,,748,1-Sep,245,667,6,m,corn,3,9,0.06,99.98724137,99.58734525,99.58734525,
2020,50,211,,748,1-Sep,245,651,6,f,corn,3,10,0.06,99.98724137,99.58734525,99.58734525,
2020,20,181,,373,1-Sep,245,507,3,f,narrow,3,15,0.1,99.97873562,99.61991638,99.61991638,
2020,20,181,,373,1-Sep,245,511,3,m,narrow,4,13,0.1,99.97873562,99.61991638,99.61991638,
2020,40,201,,636,1-Sep,245,590,5,f,corn,1,13,0.05,99.98936781,99.65612105,99.65612105,
2020,40,201,,636,1-Sep,245,605,5,m,corn,3,10,0.05,99.98936781,99.65612105,99.65612105,
2020,20,181,,373,1-Sep,245,510,3,m,narrow,4,12,0.09,99.98086206,99.65792474,99.65792474,
2020,40,201,,636,1-Sep,245,603,5,m,corn,3,6,0.04,99.99149425,99.72489684,99.72489684,
2020,50,211,,748,1-Sep,245,666,6,m,corn,3,9,0.04,99.99149425,99.72489684,99.72489684,
2020,20,181,,373,1-Sep,245,475,3,f,narrow,2,10,0.06,99.98724137,99.77194983,99.77194983,
2019,20,185,,379,4-Sep,247,139,3,m,narrow,1,11,0.02,99.98550199,99.78142077,99.78142077,
2019,20,185,,379,4-Sep,247,172,3,m,narrow,3,10,0.02,99.98550199,99.78142077,99.78142077,
2019,30,195,,499,20-Aug,232,225,4,m,corn,3,10,0.03,99.97825299,99.79123173,99.79123173,
2019,30,195,,499,20-Aug,232,243,4,m,corn,4,9,0.03,99.97825299,99.79123173,99.79123173,
2020,40,201,,636,1-Sep,245,588,5,f,corn,2,6,0.03,99.99362069,99.79367263,99.79367263,
2020,50,211,,748,1-Sep,245,670,6,m,corn,4,13,0.03,99.99362069,99.79367263,99.79367263,
2019,20,185,,379,27-Aug,239,160,3,m,wide,2,19,0.04,99.97100399,99.80363279,99.80363279,
2020,20,181,,373,14-Aug,227,473,3,f,narrow,1,14,0.05,99.98936781,99.80995819,99.80995819,
2020,20,181,,373,1-Sep,245,476,3,f,narrow,2,10,0.05,99.98936781,99.80995819,99.80995819,
2020,20,181,,373,1-Sep,245,504,3,m,narrow,1,12,0.05,99.98936781,99.80995819,99.80995819,
2020,30,191,,517,1-Sep,245,530,4,f,narrow,1,6,0.05,99.98936781,99.80995819,99.80995819,
2020,20,181,,373,14-Aug,227,474,3,f,narrow,1,10,0.04,99.99149425,99.84796655,99.84796655,
2019,20,185,,379,4-Sep,247,176,3,f,wide,3,15,0.03,99.97825299,99.85272459,99.85272459,
2019,20,185,,379,27-Aug,239,130,3,f,corn,1,26,0.02,99.98550199,99.86082116,99.86082116,
2019,20,185,,379,27-Aug,239,131,3,f,corn,1,28,0.02,99.98550199,99.86082116,99.86082116,
2019,20,185,,379,27-Aug,239,164,3,f,corn,3,20,0.02,99.98550199,99.86082116,99.86082116,
2019,30,195,,499,20-Aug,232,242,4,m,corn,4,8,0.02,99.98550199,99.86082116,99.86082116,
2019,40,205,,632,22-Aug,234,273,5,m,corn,2,8,0.02,99.98550199,99.86082116,99.86082116,
2020,40,201,,636,1-Sep,245,584,5,f,corn,1,9,0.02,99.99574712,99.86244842,99.86244842,
2020,40,201,,636,1-Sep,245,602,5,m,corn,2,8,0.02,99.99574712,99.86244842,99.86244842,
2020,40,201,,636,1-Sep,245,601,5,m,corn,2,13,0.02,99.99574712,99.86244842,99.86244842,
2020,50,211,,748,1-Sep,245,662,6,m,corn,1,9,0.02,99.99574712,99.86244842,99.86244842,
2020,50,211,,748,1-Sep,245,664,6,m,corn,2,18,0.02,99.99574712,99.86244842,99.86244842,
2020,30,191,,517,1-Sep,245,548,4,m,wide,2,9,0.07,99.98511493,99.88520827,99.88520827,
2020,20,181,,373,1-Sep,245,503,3,m,narrow,1,11,0.03,99.99362069,99.88597491,99.88597491,
2020,30,191,,517,1-Sep,245,531,4,f,narrow,1,8,0.03,99.99362069,99.88597491,99.88597491,
2020,30,191,,517,1-Sep,245,574,4,f,narrow,1,6,0.03,99.99362069,99.88597491,99.88597491,
2020,30,191,,517,1-Sep,245,575,4,m,narrow,2,7,0.03,99.99362069,99.88597491,99.88597491,
2019,10,175,,247,20-Aug,232,73,2,m,narrow,1,25,0.01,99.992751,99.89071038,99.89071038,
2019,10,175,,247,4-Sep,247,90,2,m,narrow,2,24,0.01,99.992751,99.89071038,99.89071038,
2019,10,175,,247,4-Sep,247,91,2,m,narrow,2,12,0.01,99.992751,99.89071038,99.89071038,
2019,20,185,,379,27-Aug,239,137,3,m,narrow,1,7,0.01,99.992751,99.89071038,99.89071038,
2019,20,185,,379,27-Aug,239,138,3,m,narrow,1,6,0.01,99.992751,99.89071038,99.89071038,
2019,20,185,,379,4-Sep,247,140,3,m,narrow,1,12,0.01,99.992751,99.89071038,99.89071038,
2019,20,185,,379,4-Sep,247,153,3,m,narrow,2,15,0.01,99.992751,99.89071038,99.89071038,
2019,20,185,,379,4-Sep,247,154,3,m,narrow,2,9,0.01,99.992751,99.89071038,99.89071038,
2019,20,185,,379,4-Sep,247,155,3,m,narrow,2,10,0.01,99.992751,99.89071038,99.89071038,
2019,20,185,,379,4-Sep,247,156,3,m,narrow,2,8,0.01,99.992751,99.89071038,99.89071038,
2019,20,185,,379,27-Aug,239,169,3,m,narrow,3,12,0.01,99.992751,99.89071038,99.89071038,
2019,20,185,,379,4-Sep,247,170,3,f,narrow,3,7,0.01,99.992751,99.89071038,99.89071038,
2019,20,185,,379,4-Sep,247,171,3,m,narrow,3,6,0.01,99.992751,99.89071038,99.89071038,
2019,20,185,,379,4-Sep,247,185,3,f,narrow,4,13,0.01,99.992751,99.89071038,99.89071038,
2019,20,185,,379,4-Sep,247,186,3,m,narrow,4,11,0.01,99.992751,99.89071038,99.89071038,
2019,20,185,,379,4-Sep,247,187,3,m,narrow,4,11,0.01,99.992751,99.89071038,99.89071038,
2019,20,185,,379,4-Sep,247,188,3,f,narrow,4,8,0.01,99.992751,99.89071038,99.89071038,
2019,30,195,,499,27-Aug,239,233,4,f,narrow,3,8,0.01,99.992751,99.89071038,99.89071038,
2019,30,195,,499,4-Sep,247,249,4,m,narrow,4,5,0.01,99.992751,99.89071038,99.89071038,
2019,30,195,,499,4-Sep,247,250,4,m,narrow,4,4,0.01,99.992751,99.89071038,99.89071038,
2019,40,205,,632,4-Sep,247,281,5,m,narrow,2,3,0.01,99.992751,99.89071038,99.89071038,
2019,40,205,,632,4-Sep,247,282,5,m,narrow,2,5,0.01,99.992751,99.89071038,99.89071038,
2019,40,205,,632,4-Sep,247,283,5,m,narrow,2,7,0.01,99.992751,99.89071038,99.89071038,
