year,tpl,date_tpl,gdd_0,GDD,date_harv,doy_harv,eu,transplant,sex,crop,rep,height_cm,weight_g,weight_0,red_all,test_0,red_p_tpl
2020,20,181,,373,19-Aug,232,480,3,m,fallow,3,128,455.11,3.223680014,3.223680014,3.223680014,
2019,0,165,0,168,15-Aug,227,33,1,m,corn,3,117,13.89,89.93113447,3.340292276,3.340292276,
2020,0,161,0,189,19-Aug,232,344,1,f,narrow,3,145,24.55,94.7795947,6.689471684,6.689471684,
2019,0,165,0,168,15-Aug,227,34,1,m,corn,3,115,13.18,90.4458137,8.281141267,8.281141267,
2020,0,161,0,189,19-Aug,232,355,1,m,fallow,3,130,428.46,8.890637293,8.890637293,8.890637293,
2020,0,161,0,189,31-Jul,213,363,1,m,corn,1,69,13.12,97.21011334,9.766162311,9.766162311,
2019,0,165,0,168,29-Jul,210,55,1,m,fallow,4,96,124.2,9.967379485,9.967379485,9.967379485,
2019,0,165,0,168,15-Aug,227,21,1,na,corn,3,114,12.78,90.73577383,11.06471816,11.06471816,
2019,0,165,0,168,15-Aug,227,52,1,m,corn,4,121,12.68,90.80826386,11.76061239,11.76061239,
2019,0,165,0,168,23-Jul,204,43,1,m,narrow,3,77,8.05,94.16455237,12.02185792,12.02185792,
2019,0,165,0,168,29-Jul,210,16,1,m,wide,1,101,17.9,87.02428416,12.12567501,12.12567501,
2019,0,165,0,168,23-Jul,204,60,1,m,narrow,4,77,8.01,94.19354839,12.45901639,12.45901639,
2019,0,165,0,168,23-Jul,204,59,1,m,narrow,4,85,7.99,94.20804639,12.67759563,12.67759563,
2020,30,191,,517,1-Sep,245,532,4,m,fallow,4,192,407.03,13.44759394,13.44759394,13.44759394,
2019,0,165,0,168,23-Jul,204,42,1,f,narrow,3,81,7.88,94.28778543,13.87978142,13.87978142,
2019,0,165,0,168,29-Jul,210,32,1,m,wide,2,115,17.3,87.45922436,15.07118311,15.07118311,
2020,0,161,0,189,14-Aug,227,367,1,m,corn,2,76,12.17,97.41212495,16.29986245,16.29986245,
2019,10,175,,247,15-Aug,227,104,2,m,fallow,3,140,115.17,16.51322943,16.51322943,16.51322943,
2019,0,165,0,168,23-Jul,204,41,1,m,narrow,3,78,7.45,94.59949257,18.57923497,18.57923497,
2019,0,165,0,168,15-Aug,227,27,1,m,narrow,2,120,7.43,94.61399058,18.79781421,18.79781421,
2019,0,165,0,168,23-Jul,204,58,1,m,narrow,4,79,7.38,94.65023559,19.3442623,19.3442623,
2020,0,161,0,189,14-Aug,227,329,1,f,corn,1,137,11.65,97.52269973,19.87620358,19.87620358,
2019,0,165,0,168,15-Aug,227,51,1,f,corn,4,115,11.48,91.67814426,20.11134308,20.11134308,
2019,0,165,0,168,23-Jul,204,11,1,m,narrow,1,71,7.3,94.70822762,20.21857923,20.21857923,
2019,10,175,,247,29-Jul,210,77,2,m,wide,1,58,16.2,88.25661472,20.4712813,20.4712813,
2020,10,171,,269,14-Aug,227,394,2,f,corn,1,112,11.51,97.55246986,20.83906465,20.83906465,
2019,0,165,0,168,15-Aug,227,39,1,m,fallow,3,134,108.5,21.34831461,21.34831461,21.34831461,
2020,30,191,,517,1-Sep,245,513,4,f,fallow,4,198,369.41,21.44725371,21.44725371,21.44725371,
2019,20,185,,379,27-Aug,239,165,3,m,fallow,3,111,107.99,21.71801377,21.71801377,21.71801377,
